date,dawn,dusk,avg_temp,avg_cloud,effective_temp,duration,first_run,second_run,trigger_time,ha_status,manual_minutes
2026-03-18,05:45,17:49,23.28,89.28,20.61,40,40,0,16:49:00,OK,
2025-12-26,—,—,15.57,21.45,14.93,106,106,0,migrated,—,
2026-02-01,—,—,20.86,40.36,19.65,49,49,0,migrated,—,
2026-02-22,—,—,15.41,56.53,13.71,124,120,4,migrated,—,
2026-03-02,06:06,17:37,15.77,13.12,15.38,99,99,0,16:37:00,OK,
2026-01-03,—,—,10.36,12.82,9.98,160,120,40,migrated,—,
2026-03-13,05:52,17:45,17.84,76.0,15.56,97,97,0,16:45:00,OK,
2026-02-25,06:11,17:33,16.91,52.82,15.32,100,100,0,20:46:43,OK,
2026-01-22,—,—,10.65,100.0,7.65,180,120,60,migrated,—,
2025-12-01,—,—,18.1,55.25,16.44,86,86,0,migrated,—,
2026-02-13,—,—,21.36,81.33,18.92,58,58,0,migrated,—,
2026-01-30,—,—,16.86,87.09,14.25,116,116,0,migrated,—,
2026-01-28,—,—,13.47,87.64,10.84,156,120,36,migrated,—,
2025-12-09,—,—,15.57,99.92,12.57,141,120,21,migrated,—,
2026-03-07,06:00,17:41,15.07,67.22,13.06,134,120,14,16:41:00,OK,
2025-11-21,—,—,0.0,26.71,-0.8,180,120,60,migrated,—,
2026-03-01,06:07,17:36,14.29,50.31,12.78,138,120,18,16:36:00,OK,
2025-12-16,—,—,14.45,30.73,13.53,127,120,7,migrated,—,
2025-11-19,—,—,3.58,23.07,2.89,180,120,60,migrated,—,
2025-11-16,—,—,19.18,51.75,17.63,74,74,0,migrated,—,
2025-11-15,—,—,18.42,73.58,16.21,88,88,0,migrated,—,
2026-03-08,05:58,17:41,14.95,30.0,14.05,119,119,0,16:41:00,OK,
2025-11-27,—,—,8.08,20.84,7.45,180,120,60,migrated,—,
2026-01-07,—,—,18.12,46.45,16.73,83,83,0,migrated,—,
2025-12-25,—,—,6.91,16.25,6.42,180,120,60,migrated,—,
2025-12-22,—,—,17.13,59.82,15.34,100,100,0,migrated,—,
2026-03-15,05:49,17:47,16.15,73.56,13.94,121,120,1,16:47:00,OK,
2026-01-15,—,—,12.82,18.45,12.27,146,120,26,migrated,—,
2026-03-12,05:53,17:44,19.96,32.44,18.99,58,58,0,16:44:00,OK,
2026-02-03,—,—,16.04,64.36,14.11,118,118,0,migrated,—,
2026-03-28,06:32,18:56,19.77,46.56,18.38,65,65,0,17:56:00,OK,
2025-11-26,—,—,14.83,19.22,14.25,116,116,0,migrated,—,
2026-01-29,—,—,14.71,83.82,12.2,147,120,27,migrated,—,
2025-12-31,—,—,15.51,84.73,12.97,135,120,15,migrated,—,
2025-11-20,—,—,0.5,24.8,-0.24,180,120,60,migrated,—,
2025-12-14,—,—,3.18,16.38,2.69,180,120,60,migrated,—,
2025-11-29,—,—,21.78,100.0,18.78,60,60,0,migrated,—,
2026-02-20,—,—,0.0,14.63,-0.44,180,120,60,migrated,—,
2026-02-08,—,—,18.76,58.9,16.99,80,80,0,migrated,—,
2026-01-05,—,—,15.83,16.27,15.34,100,100,0,migrated,—,
2025-12-23,—,—,15.85,48.0,14.41,114,114,0,migrated,—,
2025-12-24,—,—,13.0,17.25,12.48,143,120,23,migrated,—,
2026-01-08,—,—,19.82,60.91,17.99,70,70,0,migrated,—,
2025-12-07,—,—,17.95,40.5,16.73,83,83,0,migrated,—,
2026-03-06,06:01,17:40,17.39,66.12,15.4,99,99,0,16:40:03,OK,
2026-03-21,05:41,17:51,14.41,100.0,11.41,153,120,33,16:51:00,OK,
2026-03-22,05:40,17:52,14.73,99.89,11.73,151,120,31,16:52:00,OK,
2026-02-24,—,—,13.21,59.57,11.42,153,120,33,migrated,—,
2026-04-01,06:27,18:59,18.1,100.0,15.1,104,104,0,17:59:00,OK,
2026-01-14,—,—,13.48,65.45,11.52,152,120,32,migrated,—,
2025-12-15,—,—,15.46,55.64,13.79,123,120,3,migrated,—,
2026-03-14,05:51,17:46,19.73,71.94,17.58,74,74,0,16:46:00,OK,
2026-02-16,—,—,20.29,28.72,19.43,52,52,0,migrated,—,
2025-12-02,—,—,18.03,67.08,16.02,90,90,0,migrated,—,
2026-02-15,—,—,15.82,21.06,15.19,102,102,0,migrated,—,
2026-03-05,06:02,17:39,16.93,0.0,16.93,81,81,0,16:39:00,OK,
2025-11-18,—,—,7.08,21.92,6.42,180,120,60,migrated,—,
2026-02-12,—,—,18.82,90.67,16.1,89,89,0,migrated,—,
2025-12-17,—,—,12.64,13.1,12.25,146,120,26,migrated,—,
2025-11-28,—,—,22.38,34.67,21.34,35,35,0,migrated,—,
2026-03-03,06:04,17:37,17.21,2.62,17.13,79,79,0,16:37:00,OK,
2025-11-17,—,—,20.28,44.67,18.94,58,58,0,migrated,—,
2026-03-26,05:35,17:55,14.38,85.56,11.81,151,120,31,16:55:00,OK,
2026-02-19,—,—,15.67,62.17,13.8,123,120,3,migrated,—,
2026-01-27,—,—,16.18,72.91,13.99,120,120,0,migrated,—,
2026-03-31,06:28,18:58,18.37,71.44,16.23,88,88,0,17:58:00,OK,
2025-12-27,—,—,15.25,83.73,12.74,139,120,19,migrated,—,
2025-12-30,—,—,14.63,69.27,12.55,142,120,22,migrated,—,
2026-03-24,05:38,17:53,16.2,61.83,14.35,115,115,0,16:53:00,OK,
2026-01-06,—,—,17.17,45.64,15.8,93,93,0,migrated,—,
2025-11-30,—,—,19.43,62.5,17.55,74,74,0,migrated,—,
2025-11-25,—,—,18.91,83.75,16.4,86,86,0,migrated,—,
2026-02-28,06:08,17:35,13.52,54.06,11.9,150,120,30,16:35:00,OK,
2026-03-17,05:47,17:48,18.87,0.33,18.86,59,59,0,16:48:00,OK,
2026-01-04,—,—,13.78,41.36,12.54,142,120,22,migrated,—,
2026-03-10,05:56,17:43,16.7,0.0,16.7,83,83,0,16:43:00,OK,
2026-01-11,—,—,9.64,16.29,9.15,168,120,48,migrated,—,
2025-12-12,—,—,15.85,40.18,14.64,110,110,0,migrated,—,
2025-12-11,—,—,14.8,99.73,11.81,151,120,31,migrated,—,
2026-03-25,05:36,17:54,15.69,81.72,13.24,131,120,11,16:54:00,OK,
2026-03-27,06:34,18:55,17.25,57.61,15.52,97,97,0,17:55:00,OK,
2026-02-26,06:10,17:33,16.34,65.35,14.38,114,114,0,18:55:28,OK,
2026-04-04,06:23,19:01,19.57,33.05,18.58,78,78,0,18:49:47,OK,
2026-04-05,06:22,19:02,16.62,74.06,13.66,125,120,5,16:45:00,OK,
2026-04-06,06:20,19:02,17.84,71.0,15.0,75,75,0,17:25:00,OK,
2026-04-07,06:19,19:03,16.42,72.59,13.52,102,102,0,16:58:00,OK,
2026-04-08,06:18,19:04,18.12,58.21,15.79,63,63,0,17:37:16,OK,
2026-04-09,06:17,19:04,18.79,51.35,16.74,54,54,0,17:46:00,OK,
2026-04-10,06:15,19:05,18.91,53.06,16.79,54,54,0,17:46:00,OK,
2026-04-11,06:14,19:06,18.4,64.76,15.81,63,63,0,17:37:00,OK,
2026-04-12,06:13,19:07,18.56,52.47,16.47,56,56,0,17:44:00,OK,
2026-04-13,06:12,19:07,19.71,42.94,17.99,45,45,0,17:55:00,OK,
2026-04-14,06:11,19:08,22.99,0.71,22.97,6,6,0,18:34:00,OK,
2026-04-15,06:09,19:09,26.66,95.41,22.85,7,7,0,18:33:00,OK,
2026-04-20,06:04,19:12,19.52,40.24,17.91,46,46,0,20:20:06,OK,
2026-04-25,05:58,19:16,24.42,63.86,21.87,6,6,0,20:08:18,OK,
2026-04-26,05:57,19:17,25.64,57.47,23.34,2,2,0,18:38:21,OK,
2026-04-27,05:56,19:17,20.26,63.63,17.71,32,32,0,18:08:25,OK,
2026-04-28,05:55,19:18,21.6,42.42,19.9,16,16,0,18:24:28,OK,
2026-04-29,05:54,19:19,21.86,34.0,20.5,12,12,0,18:28:06,OK,
2026-05-14,05:41,19:30,28.56,64.45,25.98,0,0,0,22:45:11,OK,
2026-05-15,05:40,19:31,22.44,79.11,19.27,20,20,0,18:20:09,OK,
2026-05-16,05:39,19:31,21.97,49.53,19.99,15,15,0,18:25:13,OK,
2026-05-17,05:39,19:32,27.04,20.16,26.24,0,0,0,18:40:16,OK,
